Grand Theft Auto V;29.99;bel gioco;assets\gamesImage\grand-theft-auto-v.jpg;0;600
Halo Infinite Campaign;69.99;bel gioco;assets\gamesImage\halo-infinite.jpg;1;600
The Last of Us Part II;59.99;bel gioco;assets\gamesImage\the-last-of-us-part-ii-remastered.jpg;2;600
New Super Mario Bros U Deluxe;59.99;bel gioco;assets\gamesImage\super-mario-bros-u-deluxe.jpg;3;600
The Legend of Zelda Skyward Sword;59.99;bel gioco;assets\gamesImage\the-legend-of-zelda-skyward-sword.jpg;4;600
Super Smash Bros Ultimate;69.99;bel gioco;assets\gamesImage\super-smash-bros-ultimate.jpg;5;600
Pokemon Scarlatto;59.99;bel gioco;assets\gamesImage\pokemon-scarlatto.jpg;6;600
Pokemon Violetto;59.99;bel gioco;assets\gamesImage\pokemon-violetto.jpg;7;600
GTA 5 Enhanced;39.99;bel gioco;assets\gamesImage\gta5-enhanced.jpg;8;600
Forza Horizon 6;69.99;bel gioco;assets\gamesImage\forza-horizon-6.jpg;9;600
Call of Duty Black Ops 6;79.99;bel gioco;assets\gamesImage\black-ops-six.jpg;10;600
EA Sports FC 26;69.99;bel gioco;assets\gamesImage\ea-sports-fc-26.jpg;11;600
Euro Truck Simulator 2 Gold Edition;29.99;bel gioco;assets\gamesImage\euro-truck-simulator-2.jpg;12;600
Sea of Thieves 2026 Edition;39.99;bel gioco;assets\gamesImage\sea-of-thieves-2026-edition.jpg;13;600
Dying Light;19.99;bel gioco;assets\gamesImage\dying-light.jpg;14;600
ARC Raiders;16.99;bel gioco;assets\gamesImage\arc-raiders.jpg;15;600
